inst_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
ins_682472433,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690095,m_1102,1,1,25,88,0.18,0.21
ins_1163728175,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690073,m_3321,1,1,25,75,0.18,0.21
ins_1007796763,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690058,m_3161,1,1,27,93,0.18,0.22
ins_892545169,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690220,m_3801,1,1,17,87,0.18,0.21
ins_46490929,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690079,m_1664,1,1,26,76,0.18,0.21
ins_653305151,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690052,m_2041,1,1,28,81,0.18,0.21
ins_763823570,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690089,m_2965,1,1,25,86,0.18,0.21
ins_316912236,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690089,m_3265,1,1,25,84,0.18,0.21
ins_824847456,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690232,m_865,1,1,20,73,0.18,0.22
ins_126429390,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690037,m_400,1,1,28,85,0.18,0.21
ins_763815293,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690047,m_773,1,1,28,84,0.18,0.21
ins_926474873,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690150,m_2455,1,1,24,89,0.18,0.21
